Combination,Mean
"((97.0, 97.375), (97.375000001, 97.750000001), (101.714285715, 102.142857143), (102.142857144, 102.571428571))",99.758928571875
"((97.0, 97.375), (97.375000001, 97.750000001), (101.714285715, 102.142857143), (102.571428572, 103.0))",99.86607142899999
"((97.0, 97.375), (97.375000001, 97.750000001), (102.142857144, 102.571428571), (102.571428572, 103.0))",99.973214286125
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (98.500000004, 98.875000004))",98.03125000224999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (98.875000005, 99.250000005))",98.12500000249999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (99.250000006, 99.625000006))",98.21875000274999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (99.625000007, 100.0))",98.31250000212498
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (100.000000001, 100.428571428))",98.41294642987498
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (100.428571429, 100.857142857))",98.52008928699999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (100.857142858, 101.285714285))",98.62723214412499
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (101.285714286, 101.714285714))",98.73437500124999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (101.714285715, 102.142857143))",98.84151785849998
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (102.142857144, 102.571428571))",98.94866071562498
"((97.0, 97.375), (97.750000002, 98.125000002), (98.125000003, 98.500000003), (102.571428572, 103.0))",99.05580357275
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (98.875000005, 99.250000005))",98.21875000275
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (99.250000006, 99.625000006))",98.312500003
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (99.625000007, 100.0))",98.406250002375
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (100.000000001, 100.428571428))",98.506696430125
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (100.428571429, 100.857142857))",98.61383928725
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (100.857142858, 101.285714285))",98.720982144375
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (101.285714286, 101.714285714))",98.8281250015
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (101.714285715, 102.142857143))",98.93526785875
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (102.142857144, 102.571428571))",99.04241071587501
"((97.0, 97.375), (97.750000002, 98.125000002), (98.500000004, 98.875000004), (102.571428572, 103.0))",99.14955357299999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (99.250000006, 99.625000006))",98.40625000325
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (99.625000007, 100.0))",98.500000002625
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (100.000000001, 100.428571428))",98.600446430375
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (100.428571429, 100.857142857))",98.7075892875
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (100.857142858, 101.285714285))",98.814732144625
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (101.285714286, 101.714285714))",98.92187500175
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (101.714285715, 102.142857143))",99.02901785899999
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (102.142857144, 102.571428571))",99.136160716125
"((97.0, 97.375), (97.750000002, 98.125000002), (98.875000005, 99.250000005), (102.571428572, 103.0))",99.24330357324999
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (99.625000007, 100.0))",98.593750002875
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (100.000000001, 100.428571428))",98.694196430625
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (100.428571429, 100.857142857))",98.80133928775
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (100.857142858, 101.285714285))",98.908482144875
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (101.285714286, 101.714285714))",99.015625002
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (101.714285715, 102.142857143))",99.12276785924999
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (102.142857144, 102.571428571))",99.229910716375
"((97.0, 97.375), (97.750000002, 98.125000002), (99.250000006, 99.625000006), (102.571428572, 103.0))",99.33705357349999
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (100.000000001, 100.428571428))",98.78794642999998
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (100.428571429, 100.857142857))",98.89508928712499
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (100.857142858, 101.285714285))",99.00223214424999
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (101.285714286, 101.714285714))",99.10937500137499
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (101.714285715, 102.142857143))",99.21651785862498
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (102.142857144, 102.571428571))",99.32366071574998
"((97.0, 97.375), (97.750000002, 98.125000002), (99.625000007, 100.0), (102.571428572, 103.0))",99.43080357287499
"((97.0, 97.375), (97.750000002, 98.125000002), (100.000000001, 100.428571428), (100.428571429, 100.857142857))",98.99553571487499
"((97.0, 97.375), (97.750000002, 98.125000002), (100.000000001, 100.428571428), (100.857142858, 101.285714285))",99.10267857199999
"((97.0, 97.375), (97.750000002, 98.125000002), (100.000000001, 100.428571428), (101.285714286, 101.714285714))",99.20982142912499
"((97.0, 97.375), (97.750000002, 98.125000002), (100.000000001, 100.428571428), (101.714285715, 102.142857143))",99.31696428637498
"((97.0, 97.375), (97.750000002, 98.125000002), (100.000000001, 100.428571428), (102.142857144, 102.571428571))",99.42410714349998
"((97.0, 97.375), (97.750000002, 98.125000002), (100.000000001, 100.428571428), (102.571428572, 103.0))",99.531250000625
"((97.0, 97.375), (97.750000002, 98.125000002), (100.428571429, 100.857142857), (100.857142858, 101.285714285))",99.209821429125
"((97.0, 97.375), (97.750000002, 98.125000002), (100.428571429, 100.857142857), (101.285714286, 101.714285714))",99.31696428625
"((97.0, 97.375), (97.750000002, 98.125000002), (100.428571429, 100.857142857), (101.714285715, 102.142857143))",99.4241071435
"((97.0, 97.375), (97.750000002, 98.125000002), (100.428571429, 100.857142857), (102.142857144, 102.571428571))",99.531250000625
"((97.0, 97.375), (97.750000002, 98.125000002), (100.428571429, 100.857142857), (102.571428572, 103.0))",99.63839285775
"((97.0, 97.375), (97.750000002, 98.125000002), (100.857142858, 101.285714285), (101.285714286, 101.714285714))",99.424107143375
"((97.0, 97.375), (97.750000002, 98.125000002), (100.857142858, 101.285714285), (101.714285715, 102.142857143))",99.531250000625
"((97.0, 97.375), (97.750000002, 98.125000002), (100.857142858, 101.285714285), (102.142857144, 102.571428571))",99.63839285775
"((97.0, 97.375), (97.750000002, 98.125000002), (100.857142858, 101.285714285), (102.571428572, 103.0))",99.74553571487499
"((97.0, 97.375), (97.750000002, 98.125000002), (101.285714286, 101.714285714), (101.714285715, 102.142857143))",99.63839285774999
"((97.0, 97.375), (97.750000002, 98.125000002), (101.285714286, 101.714285714), (102.142857144, 102.571428571))",99.74553571487499
"((97.0, 97.375), (97.750000002, 98.125000002), (101.285714286, 101.714285714), (102.571428572, 103.0))",99.852678572
"((97.0, 97.375), (97.750000002, 98.125000002), (101.714285715, 102.142857143), (102.142857144, 102.571428571))",99.852678572125
"((97.0, 97.375), (97.750000002, 98.125000002), (101.714285715, 102.142857143), (102.571428572, 103.0))",99.95982142924998
"((97.0, 97.375), (97.750000002, 98.125000002), (102.142857144, 102.571428571), (102.571428572, 103.0))",100.066964286375
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (98.875000005, 99.250000005))",98.312500003
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (99.250000006, 99.625000006))",98.40625000325
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (99.625000007, 100.0))",98.500000002625
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (100.000000001, 100.428571428))",98.600446430375
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (100.428571429, 100.857142857))",98.7075892875
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (100.857142858, 101.285714285))",98.814732144625
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (101.285714286, 101.714285714))",98.92187500175
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (101.714285715, 102.142857143))",99.02901785899999
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (102.142857144, 102.571428571))",99.136160716125
"((97.0, 97.375), (98.125000003, 98.500000003), (98.500000004, 98.875000004), (102.571428572, 103.0))",99.24330357324999
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (99.250000006, 99.625000006))",98.5000000035
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (99.625000007, 100.0))",98.593750002875
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (100.000000001, 100.428571428))",98.694196430625
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (100.428571429, 100.857142857))",98.80133928775001
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (100.857142858, 101.285714285))",98.90848214487501
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (101.285714286, 101.714285714))",99.01562500200001
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (101.714285715, 102.142857143))",99.12276785925
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (102.142857144, 102.571428571))",99.229910716375
"((97.0, 97.375), (98.125000003, 98.500000003), (98.875000005, 99.250000005), (102.571428572, 103.0))",99.33705357350001
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (99.625000007, 100.0))",98.687500003125
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (100.000000001, 100.428571428))",98.787946430875
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (100.428571429, 100.857142857))",98.89508928800001
